label,value
sensor_01,417
sensor_02,38
sensor_03,902
sensor_04,265
sensor_05,744
sensor_06,119
sensor_07,530
sensor_08,286
sensor_09,691
sensor_10,58
sensor_11,473
sensor_12,825
sensor_13,164
sensor_14,907
sensor_15,342
sensor_16,619
sensor_17,75
sensor_18,488
sensor_19,236
sensor_20,801
sensor_21,153
sensor_22,974
sensor_23,62
sensor_24,419
sensor_25,587
sensor_26,330
sensor_27,748
sensor_28,205
sensor_29,863
sensor_30,91
sensor_31,526
sensor_32,378
sensor_33,640
sensor_34,712
sensor_35,149
sensor_36,284
sensor_37,956
sensor_38,433
sensor_39,517
sensor_40,668
